well,depth,zone,sub_zone
2,2170.000000,B,1
2,2170.200000,B,1
2,2170.400000,B,1
2,2170.600000,B,1
2,2170.800000,B,1
2,2171.000000,B,1
2,2171.200000,B,1
2,2171.400000,B,1
2,2171.600000,B,1
2,2171.800000,B,1
2,2172.000000,B,1
2,2172.200000,B,1
2,2172.400000,B,1
2,2172.600000,B,2
2,2172.800000,B,2
2,2173.000000,B,2
2,2173.200000,B,2
2,2173.400000,B,2
2,2173.600000,B,2
2,2173.800000,B,2
2,2174.000000,B,2
2,2174.200000,B,2
2,2174.400000,B,2
2,2174.600000,B,2
2,2174.800000,B,2
2,2175.000000,B,2
2,2175.200000,B,1
2,2175.400000,B,1
2,2175.600000,B,1
2,2175.800000,B,1
2,2176.000000,B,1
2,2176.200000,B,1
2,2176.400000,B,1
2,2176.600000,B,1
2,2176.800000,B,1
2,2177.000000,B,1
2,2177.200000,B,1
2,2177.400000,B,1
2,2177.600000,B,1
2,2177.800000,B,1
2,2178.000000,B,2
2,2178.200000,B,2
2,2178.400000,B,2
2,2178.600000,B,2
2,2178.800000,B,2
2,2179.000000,B,2
2,2179.200000,B,1
2,2179.400000,B,1
2,2179.600000,B,1
2,2179.800000,B,1
2,2180.000000,B,1
2,2180.200000,B,1
2,2180.400000,B,1
2,2180.600000,B,1
2,2180.800000,B,1
2,2181.000000,B,1
2,2181.200000,B,1
2,2181.400000,B,1
2,2181.600000,B,1
2,2181.800000,B,1
2,2182.000000,B,1
2,2182.200000,B,1
2,2182.400000,B,1
2,2182.600000,B,1
2,2182.800000,B,1
2,2183.000000,B,1
2,2183.200000,B,1
2,2183.400000,B,1
2,2183.600000,B,1
2,2183.800000,B,1
2,2184.000000,B,1
2,2184.200000,B,1
2,2184.400000,B,1
2,2184.600000,B,1
2,2184.800000,B,1
2,2185.000000,B,1
2,2185.200000,B,1
2,2185.400000,B,1
2,2185.600000,B,1
2,2185.800000,B,1
2,2186.000000,B,1
2,2186.200000,B,1
2,2186.400000,B,1
2,2186.600000,B,1
2,2186.800000,B,1
2,2187.000000,B,1
2,2187.200000,B,1
2,2187.400000,B,1
2,2187.600000,B,1
2,2187.800000,B,1
2,2188.000000,B,1
2,2188.200000,B,1
2,2188.400000,B,1
2,2188.600000,B,2
2,2188.800000,B,2
2,2189.000000,B,2
2,2189.200000,B,2
2,2189.400000,B,2
2,2189.600000,B,2
2,2189.800000,B,1
2,2190.000000,B,1
2,2190.200000,B,1
2,2190.400000,B,1
2,2190.600000,B,1
2,2190.800000,B,1
2,2191.000000,B,1
2,2191.200000,B,1
2,2191.400000,B,1
2,2191.600000,B,1
2,2191.800000,B,1
2,2192.000000,B,1
2,2192.200000,B,1
2,2192.400000,B,1
2,2192.600000,B,1
2,2192.800000,B,1
2,2193.000000,B,1
2,2193.200000,B,1
2,2193.400000,B,1
2,2193.600000,B,1
2,2193.800000,B,1
2,2194.000000,B,1
2,2194.200000,B,1
2,2194.400000,B,1
2,2194.600000,B,1
2,2194.800000,B,1
2,2195.000000,B,1
2,2195.200000,B,1
2,2195.400000,B,1
2,2195.600000,B,1
2,2195.800000,B,1
2,2196.000000,B,1
2,2196.200000,B,1
2,2196.400000,B,2
2,2196.600000,B,2
2,2196.800000,B,2
2,2197.000000,B,2
2,2197.200000,B,2
2,2197.400000,B,2
2,2197.600000,B,2
2,2197.800000,B,2
2,2198.000000,B,2
2,2198.200000,B,2
2,2198.400000,B,2
2,2198.600000,B,2
2,2198.800000,B,2
2,2199.000000,B,2
2,2199.200000,B,2
2,2199.400000,B,2
2,2199.600000,B,1
2,2199.800000,B,1
2,2200.000000,B,1
2,2200.200000,B,1
2,2200.400000,B,1
2,2200.600000,B,2
2,2200.800000,B,2
2,2201.000000,B,2
2,2201.200000,B,2
2,2201.400000,B,2
2,2201.600000,B,2
2,2201.800000,B,2
2,2202.000000,B,2
2,2202.200000,B,2
2,2202.400000,B,2
2,2202.600000,B,2
2,2202.800000,B,2
2,2203.000000,B,2
2,2203.200000,B,2
2,2203.400000,B,2
2,2203.600000,B,2
2,2203.800000,B,2
2,2204.000000,B,2
2,2204.200000,B,2
2,2204.400000,B,2
2,2204.600000,B,2
2,2204.800000,B,1
2,2205.000000,B,1
2,2205.200000,B,1
2,2205.400000,B,1
2,2205.600000,B,1
2,2205.800000,B,1
2,2206.000000,B,1
2,2206.200000,B,1
2,2206.400000,B,1
2,2206.600000,B,1
2,2206.800000,B,1
2,2207.000000,B,1
2,2207.200000,B,1
2,2207.400000,B,1
2,2207.600000,B,1
2,2207.800000,B,1
2,2208.000000,B,1
2,2208.200000,B,1
2,2208.400000,B,1
2,2208.600000,B,1
2,2208.800000,B,1
2,2209.000000,B,1
2,2209.200000,B,1
2,2209.400000,B,1
2,2209.600000,B,1
2,2209.800000,B,1
2,2210.000000,B,1
2,2210.200000,B,1
2,2210.400000,B,1
2,2210.600000,B,1
2,2210.800000,B,1
2,2211.000000,B,1
2,2211.200000,B,1
2,2211.400000,B,1
2,2211.600000,B,1
2,2211.800000,B,1
2,2212.000000,B,1
2,2212.200000,B,1
2,2212.400000,B,1
2,2212.600000,B,1
2,2212.800000,B,2
2,2213.000000,B,2
2,2213.200000,B,2
2,2213.400000,B,2
2,2213.600000,B,2
2,2213.800000,B,2
2,2214.000000,B,2
2,2214.200000,B,2
2,2214.400000,B,2
2,2214.600000,B,2
2,2214.800000,B,1
2,2215.000000,B,1
2,2215.200000,B,1
2,2215.400000,B,1
2,2215.600000,B,1
2,2215.800000,B,1
2,2216.000000,B,1
2,2216.200000,B,1
2,2216.400000,B,1
2,2216.600000,B,1
2,2216.800000,B,1
2,2217.000000,B,1
2,2217.200000,B,1
2,2217.400000,B,1
2,2217.600000,B,1
2,2217.800000,B,1
2,2218.000000,B,1
2,2218.200000,B,1
2,2218.400000,B,1
2,2218.600000,B,1
2,2218.800000,B,1
2,2219.000000,B,1
2,2219.200000,B,1
