well,depth,zone,sub_zone
1,2182.600000,C,1
1,2182.800000,C,1
1,2183.000000,C,1
1,2183.200000,C,1
1,2183.400000,C,1
1,2183.600000,C,1
1,2183.800000,C,1
1,2184.000000,C,1
1,2184.200000,C,1
1,2184.400000,C,1
1,2184.600000,C,1
1,2184.800000,C,1
1,2185.000000,C,1
1,2185.200000,C,1
1,2185.400000,C,1
1,2185.600000,C,1
1,2185.800000,C,1
1,2186.000000,C,1
1,2186.200000,C,1
1,2186.400000,C,1
1,2186.600000,C,1
1,2186.800000,C,1
1,2187.000000,C,1
1,2187.200000,C,1
1,2187.400000,C,1
1,2187.600000,C,1
1,2187.800000,C,1
1,2188.000000,C,1
1,2188.200000,C,1
1,2188.400000,C,1
1,2188.600000,C,1
1,2188.800000,C,1
1,2189.000000,C,1
1,2189.200000,C,1
1,2189.400000,C,1
1,2189.600000,C,1
1,2189.800000,C,1
1,2190.000000,C,1
1,2190.200000,C,1
1,2190.400000,C,1
1,2190.600000,C,1
1,2190.800000,C,1
1,2191.000000,C,1
1,2191.200000,C,1
1,2191.400000,C,1
1,2191.600000,C,1
1,2191.800000,C,1
1,2192.000000,C,1
1,2192.200000,C,1
1,2192.400000,C,1
1,2192.600000,C,1
1,2192.800000,C,1
1,2193.000000,C,1
1,2193.200000,C,1
1,2193.400000,C,1
1,2193.600000,C,1
1,2193.800000,C,1
1,2194.000000,C,1
1,2194.200000,C,1
1,2194.400000,C,1
1,2194.600000,C,1
1,2194.800000,C,1
1,2195.000000,C,1
1,2195.200000,C,1
1,2195.400000,C,1
1,2195.600000,C,1
1,2195.800000,C,1
1,2196.000000,C,1
1,2196.200000,C,1
1,2196.400000,C,1
1,2196.600000,C,1
1,2196.800000,C,1
1,2197.000000,C,1
1,2197.200000,C,1
1,2197.400000,C,1
1,2197.600000,C,1
1,2197.800000,C,1
1,2198.000000,C,1
1,2198.200000,C,1
1,2198.400000,C,1
1,2198.600000,C,1
1,2198.800000,C,1
1,2199.000000,C,1
1,2199.200000,C,1
1,2199.400000,C,1
1,2199.600000,C,1
1,2199.800000,C,1
1,2200.000000,C,1
1,2200.200000,C,1
1,2200.400000,C,1
1,2200.600000,C,1
1,2200.800000,C,1
1,2201.000000,C,1
1,2201.200000,C,1
1,2201.400000,C,1
1,2201.600000,C,1
1,2201.800000,C,1
1,2202.000000,C,1
1,2202.200000,C,1
1,2202.400000,C,1
1,2202.600000,C,1
2,2225.600000,C,1
2,2225.800000,C,1
2,2226.000000,C,1
2,2226.200000,C,1
2,2226.400000,C,1
2,2226.600000,C,1
2,2226.800000,C,1
2,2227.000000,C,1
2,2227.200000,C,1
2,2227.400000,C,1
2,2227.600000,C,1
2,2227.800000,C,1
2,2228.000000,C,1
2,2228.200000,C,1
2,2228.400000,C,1
2,2228.600000,C,1
2,2228.800000,C,1
2,2229.000000,C,1
2,2229.200000,C,1
2,2229.400000,C,1
2,2229.600000,C,1
2,2229.800000,C,2
2,2230.000000,C,2
2,2230.200000,C,2
2,2230.400000,C,2
2,2230.600000,C,2
2,2230.800000,C,2
2,2231.000000,C,2
2,2231.200000,C,2
2,2231.400000,C,2
2,2231.600000,C,2
2,2231.800000,C,2
2,2232.000000,C,2
2,2232.200000,C,2
2,2232.400000,C,2
2,2232.600000,C,2
2,2232.800000,C,2
2,2233.000000,C,2
2,2233.200000,C,2
2,2233.400000,C,2
2,2233.600000,C,2
2,2233.800000,C,2
2,2234.000000,C,2
2,2234.200000,C,2
2,2234.400000,C,2
2,2234.600000,C,2
2,2234.800000,C,2
2,2235.000000,C,2
2,2235.200000,C,2
2,2235.400000,C,2
2,2235.600000,C,2
2,2235.800000,C,2
2,2236.000000,C,2
2,2236.200000,C,2
2,2236.400000,C,2
2,2236.600000,C,2
2,2236.800000,C,2
2,2237.000000,C,2
2,2237.200000,C,2
2,2237.400000,C,2
2,2237.600000,C,2
2,2237.800000,C,2
2,2238.000000,C,2
2,2238.200000,C,2
2,2238.400000,C,1
2,2238.600000,C,1
2,2238.800000,C,1
2,2239.000000,C,1
2,2239.200000,C,1
2,2239.400000,C,1
2,2239.600000,C,1
2,2239.800000,C,1
2,2240.000000,C,1
2,2240.200000,C,1
2,2240.400000,C,1
2,2240.600000,C,2
2,2240.800000,C,2
2,2241.000000,C,2
2,2241.200000,C,2
2,2241.400000,C,2
2,2241.600000,C,1
2,2241.800000,C,1
2,2242.000000,C,1
2,2242.200000,C,1
2,2242.400000,C,1
2,2242.600000,C,1
2,2242.800000,C,1
2,2243.000000,C,1
2,2243.200000,C,1
2,2243.400000,C,1
2,2243.600000,C,1
2,2243.800000,C,1
2,2244.000000,C,1
2,2244.200000,C,2
2,2244.400000,C,2
2,2244.600000,C,2
2,2244.800000,C,2
2,2245.000000,C,2
2,2245.200000,C,2
2,2245.400000,C,2
2,2245.600000,C,2
2,2245.800000,C,2
2,2246.000000,C,2
